,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,f/mf,,p /pp,,mp /p,,,f,,,,MAKE LONGER,,,,,,,,,,,,,,Choral Interlude,,,,,,,,
,,,,,,,make longer,,,,,,,,,,two sec scatters,,,,,,,,,,,also make different yellow in part 2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"*raindrops, yarn mallets",,,,,*this is the arm thing,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,*,,*,,*,,,*,,,*hand muting yellow,,,,ARM,,,,,,,*hand playing yellow,,,,,,,,,,,,
Part 1,,,,,,blue,blue,blue,blue,blue,green,orange,orange,orange,orange,black,red,black,blue,black,blue,black,black,green,black,purple,purple,black,black,purple,arm1,arm2,arm3,arm4,arm5,arm6,arm7,yellow,yellow,yellow,yellow,choral,red,red,rainbow,rainbow,rainbow,red,redend,
Part 2,,blue,blue,blue,black,black,blue,blue,blue,blue,green,blue,red,red,red,black,red,black,green,black,blue,black,black,red,black,black,yellow,yellow,yellow,yellow,arm1,arm2,arm3,arm4,arm5,arm6,arm7,black,blue,black,green,choral,purple,purple,rainbow,rainbow,red,red,redend,
Part 3,,,blue,blue,blue,blue,blue,green,blue,blue,blue,blue,blue,green,green,black,orange,black,green,black,black,red,black,orange,black,black,black,black,purple,purple,arm1,arm2,arm3,arm4,arm5,arm6,arm7,yellow,yellow,yellow,purple,choral,purple,orange,rainbow,rainbow,rainbow,rainbow,redend,
Part 4,,,,blue,blue,blue,blue,blue,blue,green,blue,blue,blue,blue,orange,black,orange,black,blue,black,black,red,black,blue,black,black,black,black,black,yellow,arm1,arm2,arm3,arm4,arm5,arm6,arm7,black,black,blue,yellow,choral,yellow,yellow,rainbow,red,red,red,redend,
dur,5,10,10,8,7,10,5,15,5,15,15,13,7,5,15,5,15,5,15,5,15,15,5,15,4,16,10,5,15,30,10,10,10,10,20,10,20,7,8,7,18,60,10,15,50,10,10,10,10,5
total,0,5,15,25,33,40,50,55,70,75,90,105,118,125,130,145,150,165,170,185,190,205,220,225,240,244,260,270,275,290,320,330,340,350,360,380,390,410,417,425,432,450,510,520,535,585,595,605,615,625
Minutes,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,,3,3,4,4,4,4,4,4,5,,,,,,,6,6,7,7,7,8,8,8,9,9,10,10,10
Seconds,0,5,15,25,33,40,50,55,10,15,30,45,58,5,10,25,30,45,50,5,10,,40,45,0,4,20,30,35,50,20,,,,,,,50,57,5,12,30,30,40,55,45,55,5,15,25
,0:00,0:05,0:15,0:25,0:33,0:40,0:50,0:55,1:10,1:15,1:30,1:45,1:58,2:05,2:10,2:25,2:30,2:45,2:50,3:05,3:10,3:25,3:40,3:45,4:00,4:04,4:20,4:30,4:35,4:50,5:20,5:30,5:40,5:50,6:00,6:20,6:30,6:50,6:57,7:05,7:12,7:30,8:30,8:40,8:55,9:45,9:55,10:05,10:15,10:25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red,sticks,,,,,,highest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,big melody,,,,,,1,vibe (high),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,playing w/ fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,big alternating notes,,,,,,3,vibe (bass),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,rolls,,,,,,,,lowest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,super quiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
